*************************************
Time	p   q		S   OV

  1	+ 0   + 0		+ 0   0
  2	+ 0   + 1		+ 1   0
  3	+ 0   + 2		+ 2   0
  4	+ 0   + 3		+ 3   0
  5	+ 0   + 4		+ 4   0
  6	+ 0   + 5		+ 5   0
  7	+ 0   + 6		+ 6   0
  8	+ 0   + 7		+ 7   0
  9	+ 0   + 8		+ 8   0
 10	+ 0   + 9		+ 9   0
 11	+ 0   +10		+10   0
 12	+ 0   +11		+11   0
 13	+ 0   +12		+12   0
 14	+ 0   +13		+13   0
 15	+ 0   +14		+14   0
 16	+ 0   +15		+15   0
 17	+ 0   - 0		+ 0   0
 18	+ 0   - 1		- 1   0
 19	+ 0   - 2		- 2   0
 20	+ 0   - 3		- 3   0
 21	+ 0   - 4		- 4   0
 22	+ 0   - 5		- 5   0
 23	+ 0   - 6		- 6   0
 24	+ 0   - 7		- 7   0
 25	+ 0   - 8		- 8   0
 26	+ 0   - 9		- 9   0
 27	+ 0   -10		-10   0
 28	+ 0   -11		-11   0
 29	+ 0   -12		-12   0
 30	+ 0   -13		-13   0
 31	+ 0   -14		-14   0
 32	+ 0   -15		-15   0
 33	+ 1   + 0		+ 1   0
 34	+ 1   + 1		+ 2   0
 35	+ 1   + 2		+ 3   0
 36	+ 1   + 3		+ 4   0
 37	+ 1   + 4		+ 5   0
 38	+ 1   + 5		+ 6   0
 39	+ 1   + 6		+ 7   0
 40	+ 1   + 7		+ 8   0
 41	+ 1   + 8		+ 9   0
 42	+ 1   + 9		+10   0
 43	+ 1   +10		+11   0
 44	+ 1   +11		+12   0
 45	+ 1   +12		+13   0
 46	+ 1   +13		+14   0
 47	+ 1   +14		+15   0
 48	+ 1   +15		+ 0   1
 49	+ 1   - 0		+ 1   0
 50	+ 1   - 1		+ 0   0
 51	+ 1   - 2		- 1   0
 52	+ 1   - 3		- 2   0
 53	+ 1   - 4		- 3   0
 54	+ 1   - 5		- 4   0
 55	+ 1   - 6		- 5   0
 56	+ 1   - 7		- 6   0
 57	+ 1   - 8		- 7   0
 58	+ 1   - 9		- 8   0
 59	+ 1   -10		- 9   0
 60	+ 1   -11		-10   0
 61	+ 1   -12		-11   0
 62	+ 1   -13		-12   0
 63	+ 1   -14		-13   0
 64	+ 1   -15		-14   0
 65	+ 2   + 0		+ 2   0
 66	+ 2   + 1		+ 3   0
 67	+ 2   + 2		+ 4   0
 68	+ 2   + 3		+ 5   0
 69	+ 2   + 4		+ 6   0
 70	+ 2   + 5		+ 7   0
 71	+ 2   + 6		+ 8   0
 72	+ 2   + 7		+ 9   0
 73	+ 2   + 8		+10   0
 74	+ 2   + 9		+11   0
 75	+ 2   +10		+12   0
 76	+ 2   +11		+13   0
 77	+ 2   +12		+14   0
 78	+ 2   +13		+15   0
 79	+ 2   +14		+ 0   1
 80	+ 2   +15		+ 1   1
 81	+ 2   - 0		+ 2   0
 82	+ 2   - 1		+ 1   0
 83	+ 2   - 2		+ 0   0
 84	+ 2   - 3		- 1   0
 85	+ 2   - 4		- 2   0
 86	+ 2   - 5		- 3   0
 87	+ 2   - 6		- 4   0
 88	+ 2   - 7		- 5   0
 89	+ 2   - 8		- 6   0
 90	+ 2   - 9		- 7   0
 91	+ 2   -10		- 8   0
 92	+ 2   -11		- 9   0
 93	+ 2   -12		-10   0
 94	+ 2   -13		-11   0
 95	+ 2   -14		-12   0
 96	+ 2   -15		-13   0
 97	+ 3   + 0		+ 3   0
 98	+ 3   + 1		+ 4   0
 99	+ 3   + 2		+ 5   0
100	+ 3   + 3		+ 6   0
101	+ 3   + 4		+ 7   0
102	+ 3   + 5		+ 8   0
103	+ 3   + 6		+ 9   0
104	+ 3   + 7		+10   0
105	+ 3   + 8		+11   0
106	+ 3   + 9		+12   0
107	+ 3   +10		+13   0
108	+ 3   +11		+14   0
109	+ 3   +12		+15   0
110	+ 3   +13		+ 0   1
111	+ 3   +14		+ 1   1
112	+ 3   +15		+ 2   1
113	+ 3   - 0		+ 3   0
114	+ 3   - 1		+ 2   0
115	+ 3   - 2		+ 1   0
116	+ 3   - 3		+ 0   0
117	+ 3   - 4		- 1   0
118	+ 3   - 5		- 2   0
119	+ 3   - 6		- 3   0
120	+ 3   - 7		- 4   0
121	+ 3   - 8		- 5   0
122	+ 3   - 9		- 6   0
123	+ 3   -10		- 7   0
124	+ 3   -11		- 8   0
125	+ 3   -12		- 9   0
126	+ 3   -13		-10   0
127	+ 3   -14		-11   0
128	+ 3   -15		-12   0
129	+ 4   + 0		+ 4   0
130	+ 4   + 1		+ 5   0
131	+ 4   + 2		+ 6   0
132	+ 4   + 3		+ 7   0
133	+ 4   + 4		+ 8   0
134	+ 4   + 5		+ 9   0
135	+ 4   + 6		+10   0
136	+ 4   + 7		+11   0
137	+ 4   + 8		+12   0
138	+ 4   + 9		+13   0
139	+ 4   +10		+14   0
140	+ 4   +11		+15   0
141	+ 4   +12		+ 0   1
142	+ 4   +13		+ 1   1
143	+ 4   +14		+ 2   1
144	+ 4   +15		+ 3   1
145	+ 4   - 0		+ 4   0
146	+ 4   - 1		+ 3   0
147	+ 4   - 2		+ 2   0
148	+ 4   - 3		+ 1   0
149	+ 4   - 4		+ 0   0
150	+ 4   - 5		- 1   0
151	+ 4   - 6		- 2   0
152	+ 4   - 7		- 3   0
153	+ 4   - 8		- 4   0
154	+ 4   - 9		- 5   0
155	+ 4   -10		- 6   0
156	+ 4   -11		- 7   0
157	+ 4   -12		- 8   0
158	+ 4   -13		- 9   0
159	+ 4   -14		-10   0
160	+ 4   -15		-11   0
161	+ 5   + 0		+ 5   0
162	+ 5   + 1		+ 6   0
163	+ 5   + 2		+ 7   0
164	+ 5   + 3		+ 8   0
165	+ 5   + 4		+ 9   0
166	+ 5   + 5		+10   0
167	+ 5   + 6		+11   0
168	+ 5   + 7		+12   0
169	+ 5   + 8		+13   0
170	+ 5   + 9		+14   0
171	+ 5   +10		+15   0
172	+ 5   +11		+ 0   1
173	+ 5   +12		+ 1   1
174	+ 5   +13		+ 2   1
175	+ 5   +14		+ 3   1
176	+ 5   +15		+ 4   1
177	+ 5   - 0		+ 5   0
178	+ 5   - 1		+ 4   0
179	+ 5   - 2		+ 3   0
180	+ 5   - 3		+ 2   0
181	+ 5   - 4		+ 1   0
182	+ 5   - 5		+ 0   0
183	+ 5   - 6		- 1   0
184	+ 5   - 7		- 2   0
185	+ 5   - 8		- 3   0
186	+ 5   - 9		- 4   0
187	+ 5   -10		- 5   0
188	+ 5   -11		- 6   0
189	+ 5   -12		- 7   0
190	+ 5   -13		- 8   0
191	+ 5   -14		- 9   0
192	+ 5   -15		-10   0
193	+ 6   + 0		+ 6   0
194	+ 6   + 1		+ 7   0
195	+ 6   + 2		+ 8   0
196	+ 6   + 3		+ 9   0
197	+ 6   + 4		+10   0
198	+ 6   + 5		+11   0
199	+ 6   + 6		+12   0
200	+ 6   + 7		+13   0
201	+ 6   + 8		+14   0
202	+ 6   + 9		+15   0
203	+ 6   +10		+ 0   1
204	+ 6   +11		+ 1   1
205	+ 6   +12		+ 2   1
206	+ 6   +13		+ 3   1
207	+ 6   +14		+ 4   1
208	+ 6   +15		+ 5   1
209	+ 6   - 0		+ 6   0
210	+ 6   - 1		+ 5   0
211	+ 6   - 2		+ 4   0
212	+ 6   - 3		+ 3   0
213	+ 6   - 4		+ 2   0
214	+ 6   - 5		+ 1   0
215	+ 6   - 6		+ 0   0
216	+ 6   - 7		- 1   0
217	+ 6   - 8		- 2   0
218	+ 6   - 9		- 3   0
219	+ 6   -10		- 4   0
220	+ 6   -11		- 5   0
221	+ 6   -12		- 6   0
222	+ 6   -13		- 7   0
223	+ 6   -14		- 8   0
224	+ 6   -15		- 9   0
225	+ 7   + 0		+ 7   0
226	+ 7   + 1		+ 8   0
227	+ 7   + 2		+ 9   0
228	+ 7   + 3		+10   0
229	+ 7   + 4		+11   0
230	+ 7   + 5		+12   0
231	+ 7   + 6		+13   0
232	+ 7   + 7		+14   0
233	+ 7   + 8		+15   0
234	+ 7   + 9		+ 0   1
235	+ 7   +10		+ 1   1
236	+ 7   +11		+ 2   1
237	+ 7   +12		+ 3   1
238	+ 7   +13		+ 4   1
239	+ 7   +14		+ 5   1
240	+ 7   +15		+ 6   1
241	+ 7   - 0		+ 7   0
242	+ 7   - 1		+ 6   0
243	+ 7   - 2		+ 5   0
244	+ 7   - 3		+ 4   0
245	+ 7   - 4		+ 3   0
246	+ 7   - 5		+ 2   0
247	+ 7   - 6		+ 1   0
248	+ 7   - 7		+ 0   0
249	+ 7   - 8		- 1   0
250	+ 7   - 9		- 2   0
251	+ 7   -10		- 3   0
252	+ 7   -11		- 4   0
253	+ 7   -12		- 5   0
254	+ 7   -13		- 6   0
255	+ 7   -14		- 7   0
256	+ 7   -15		- 8   0
257	+ 8   + 0		+ 8   0
258	+ 8   + 1		+ 9   0
259	+ 8   + 2		+10   0
260	+ 8   + 3		+11   0
261	+ 8   + 4		+12   0
262	+ 8   + 5		+13   0
263	+ 8   + 6		+14   0
264	+ 8   + 7		+15   0
265	+ 8   + 8		+ 0   1
266	+ 8   + 9		+ 1   1
267	+ 8   +10		+ 2   1
268	+ 8   +11		+ 3   1
269	+ 8   +12		+ 4   1
270	+ 8   +13		+ 5   1
271	+ 8   +14		+ 6   1
272	+ 8   +15		+ 7   1
273	+ 8   - 0		+ 8   0
274	+ 8   - 1		+ 7   0
275	+ 8   - 2		+ 6   0
276	+ 8   - 3		+ 5   0
277	+ 8   - 4		+ 4   0
278	+ 8   - 5		+ 3   0
279	+ 8   - 6		+ 2   0
280	+ 8   - 7		+ 1   0
281	+ 8   - 8		+ 0   0
282	+ 8   - 9		- 1   0
283	+ 8   -10		- 2   0
284	+ 8   -11		- 3   0
285	+ 8   -12		- 4   0
286	+ 8   -13		- 5   0
287	+ 8   -14		- 6   0
288	+ 8   -15		- 7   0
289	+ 9   + 0		+ 9   0
290	+ 9   + 1		+10   0
291	+ 9   + 2		+11   0
292	+ 9   + 3		+12   0
293	+ 9   + 4		+13   0
294	+ 9   + 5		+14   0
295	+ 9   + 6		+15   0
296	+ 9   + 7		+ 0   1
297	+ 9   + 8		+ 1   1
